title,title_pos,latitude,longitude,size,inside,fips
Birmingham,B,33.57,-86.75,L,TRUE,01
Huntsville,L,34.7303688,-86.586,S,TRUE,01
Mobile,T,30.6943566,-88.043,S,TRUE,01
Montgomery,T,32.35,-86.28,S,TRUE,01
Nashville,T,36.171,-86.784,L,FALSE,01
Atlanta,B,33.68,-84.42,S,FALSE,01
Anchorage,R,61.17,-150.02,S,TRUE,02
Fairbanks,L,64.8377778,-147.716,S,TRUE,02
Juneau,L,58.39,-134.13,S,TRUE,02
Flagstaff,R,35.2013516,-111.639,S,TRUE,04
Phoenix,T,33.448,-112.074,L,TRUE,04
Sedona,L,34.8697395,-111.761,S,TRUE,04
Tucson,L,32.12,-110.93,S,TRUE,04
Yuma,R,32.6926512,-114.628,S,TRUE,04
Las Vegas,T,36.1699,-115.1398,S,FALSE,04
Albuquerque,T,35.0844,-106.6504,S,FALSE,04
El Paso,T,31.763211,-106.491,S,FALSE,04
Fayetteville,R,36.0764,-94.161,S,TRUE,05
Hot Springs,L,34.5,-93,S,TRUE,05
Jonesboro,B,35.8281,-90.694,S,TRUE,05
Little Rock,R,34.72,-92.35,S,TRUE,05
Texarkana,R,33.4372,-94.058,S,TRUE,05
Memphis,R,35.35,-89.87,L,FALSE,05
Los Angeles,L,34.0522,-118.2437,L,TRUE,06
Sacramento,T,38.5816,-121.4944,S,TRUE,06
San Diego,R,32.7157,-117.1611,L,TRUE,06
San Francisco,L,37.7749,-122.4194,L,TRUE,06
San Jose,B,37.3382,-121.8863,L,TRUE,06
Phoenix,T,33.448,-112.074,L,FALSE,06
Las Vegas,T,36.1699,-115.1398,S,FALSE,06
Reno,R,39.5296,-119.8138,S,FALSE,06
Portland,B,45.5122,-122.6587,S,FALSE,06
Colorado Springs,L,38.82,-104.72,S,TRUE,08
Fort Collins,L,40.5592,-105.078,S,TRUE,08
Denver,R,39.7375,-104.984,S,TRUE,08
Grand Junction,R,39.0638705,-108.551,S,TRUE,08
Cheyenne,L,41.145,-104.792,S,FALSE,08
Bridgeport,T,41.2,-73.2,S,TRUE,09
Hartford,L,41.765,-72.684,S,TRUE,09
New Haven,R,41.3,-72.9,S,TRUE,09
Norwich,L,41.5503,-72.088,S,TRUE,09
Stamford,T,41.0528,-73.539,S,TRUE,09
New York,L,40.77,-73.98,L,FALSE,09
Boston,L,42.37,-71.03,L,FALSE,09
Dover,B,39.16,-75.52,S,TRUE,10
Wilmington,L,39.7458,-75.547,S,TRUE,10
Philadelphia,L,39.9524,-75.164,L,FALSE,10
Washington,R,38.890159,-77.035,S,FALSE,10
Atlantic City,L,39.3773,-74.451,S,FALSE,10
Washington,L,38.890159,-77.035,S,TRUE,11
Annapolis,L,38.9695,-76.52,S,FALSE,11
Arlington,L,38.874729,-77.083,S,FALSE,11
Baltimore,L,39.28606,-76.614,L,FALSE,11
Philadelphia,L,39.9524,-75.164,L,FALSE,11
Richmond,L,37.5393,-77.442,S,FALSE,11
Fairfax,L,38.8462236,-77.306,S,FALSE,11
Jacksonville,R,30.5,-81.7,S,TRUE,12
Miami,R,25.92,-80.28,L,TRUE,12
Naples,L,26.1420358,-81.795,S,TRUE,12
Orlando,T,28.43,-81.32,S,TRUE,12
St. Petersburg,L,27.8,-82.6,S,TRUE,12
Tallahassee,T,30.457,-84.28,S,TRUE,12
Pensacola,B,30.421309,-87.217,S,TRUE,12
Tampa,R,27.97,-82.53,S,TRUE,12
Atlanta,R,33.68,-84.42,S,FALSE,12
Atlanta,T,33.68,-84.42,S,TRUE,13
Augusta,L,33.5,-82,S,TRUE,13
Savannah,L,32.1,-81.3,S,TRUE,13
